Framework,Objective,Success,Continue_Work
Gully Marine Protected Area,Minimize harmful impacts from human activities on cetacean populations and their habitats;,Marine mammal populations are thriving with minimal human pressures.,Efforts to reduce human impacts should continue to ensure healthy marine mammal populations.
Gully Marine Protected Area,Minimize the disturbance of seafloor habitat and associated benthic communities caused by human activities;,Seafloor and coral habitats are intact and supporting diverse communities.,Continued management is needed to protect and restore benthic and coral habitats.
Gully Marine Protected Area,Maintain and monitor the quality of water and sediments of the Gully; and,"Water and sediment quality are maintained, supporting ecosystem health.",Ongoing measures are required to improve and sustain water and sediment quality.
Gully Marine Protected Area,Manage human activities to minimize impacts on other commercial and non-commercial living resources.,"Conservation and protection objectives are being met, supporting healthy ecosystems.",Ongoing efforts are required to fully achieve conservation and protection goals.
Musquash Estuary Marine Protected Area,Maintain productivity of harvested species,Populations of key species are productive and ecosystems are functioning well.,Management actions should continue to enhance species productivity and sustainable use.
Musquash Estuary Marine Protected Area,"Maintain biodiversity of individual species, communities and populations within the different ecotypes","Biodiversity is well maintained, supporting resilient and diverse ecosystems.",Additional conservation efforts are needed to sustain species diversity and ecosystem resilience.
Musquash Estuary Marine Protected Area,"Safeguard habitat, including the physical and chemical properties of the ecosystem, by maintaining water and sediment quality.",Seafloor and coral habitats are intact and supporting diverse communities.,Continued management is needed to protect and restore benthic and coral habitats.
Corsair and Georges Canyons Conservation Area (Restricted Bottom Fisheries Zone),Protect cold-water corals,Seafloor and coral habitats are intact and supporting diverse communities.,Continued management is needed to protect and restore benthic and coral habitats.
Eastern Canyons Conservation Area,Protect cold-water corals and deep water frontier area,Seafloor and coral habitats are intact and supporting diverse communities.,Continued management is needed to protect and restore benthic and coral habitats.
Emerald Basin Sponge Conservation Area,Protect Vazella pourtalesi glass sponges,"Conservation and protection objectives are being met, supporting healthy ecosystems.",Ongoing efforts are required to fully achieve conservation and protection goals.
Western and Emerald Banks Marine Refuge,"Support productivity objectives for groundfish species of Aboriginal, commercial, and/or recreational importance, particularly NAFO Division 4VW haddock",Populations of key species are productive and ecosystems are functioning well.,Management actions should continue to enhance species productivity and sustainable use.
Western and Emerald Banks Marine Refuge,Manage the disturbance of benthic habitat that supports juvenile and adult haddock and other groundfish species,Seafloor and coral habitats are intact and supporting diverse communities.,Continued management is needed to protect and restore benthic and coral habitats.
Western and Emerald Banks Marine Refuge,Protect continental shelf habitats and associated benthic and demersal communities,Seafloor and coral habitats are intact and supporting diverse communities.,Continued management is needed to protect and restore benthic and coral habitats.
